filename,location,production_type,total_budget,departments_found,line_items_found,total_pages,status
2021+Cable+LA+Amort+9Eps+v07.pdf,"Los Angeles, CA 8 Day Shoot - 4 Stage / 4 Location",,,17,40,56,success
2021 Multicam S1 Pattern 12Eps v06.pdf,,multicam_pilot,,9,18,32,success
2021+Cable+LA+Pattern+9Eps+v07.pdf,"Los Angeles, CA 8 Day Shoot - 4 Stage / 4 Location",,,16,53,52,success
2021 One Hour Pilot+Los Angeles+v03.pdf,"Los Angeles, CA Shoot -15 Local Location Days",,,17,58,55,success
2021 Multicam S1 Amort 12Eps v06.pdf,,multicam_pilot,,10,28,34,success
"2021 IATSE Local 873 Long Term Agreement - July 20, 2021 (FINAL) (00249683xBE9D7).pdf",,,,0,0,103,no_data
2021-Local-399-817-Casting-Directors-Agreement-Final-00315151xBE9D7.pdf,,,,0,0,35,no_data
2021 Cable ATL One Hour Pilot v06.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable ATL One Hour Pilot v01.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable ATL One Hour Pilot v02.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable ATL One Hour Pilot v05.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable ATL One Hour Pilot v04.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable ATL One Hour Pilot v03.pdf,"Atlanta, GA Shoot -15 Local Location Days",,,19,51,62,success
2021 Cable CHA One Hour Pilot v01.pdf,"Charleston, SC Shoot - 15 Local Location Days",one_hour_pilot,,19,45,61,success
2021 Cable CHA One Hour Pilot v02.pdf,"Charleston, SC Shoot - 15 Local Location Days",one_hour_pilot,,19,60,64,success
2021 Cable NOLA One-hour Pilot v01.pdf,"New Orleans, LA Shoot -15 Local Location Days",,,18,41,59,success
2021 Cable NOLA One-hour Pilot v02.pdf,"New Orleans, LA Shoot -15 Local Location Days",,,18,40,59,success
2021 Cable CHI One Hour Pilot v01.pdf,"Chicago,IL Shoot-15LocalLocationDays",,,17,49,54,success
2021 Cable CHI One Hour Pilot v02.pdf,"Chicago,IL Shoot-15LocalLocationDays",,,0,0,54,no_data
2021 Cable CHI One Hour Pilot v04.pdf,"Chicago,IL Shoot-15LocalLocationDays",,,0,0,54,no_data
2021 Cable CHI One Hour Pilot v03.pdf,"Chicago,IL Shoot-15LocalLocationDays",,,0,0,54,no_data
2021 One Hour Pilot+Los Angeles+v01.pdf,"Los Angeles, CA Shoot -15 Local Location Days",,,17,58,54,success
